Model,Horizon (s),ADE (m),FDE (m),RMSE (m),MAE (m)
Constant Velocity,30,2.2547093117483907,2.2547093117483907,2.2547335917790337,2.2547093117483907
Constant Velocity,60,5.863692473600683,5.863692473600683,5.864342177007816,5.863692473600683
Constant Velocity,120,22.352962284246406,22.352962284246406,24.701331293964405,22.352962284246406
Constant Velocity,180,16.0986556304008,16.0986556304008,16.178073844228447,16.0986556304008
Constant Velocity,300,27.207152242978193,27.207152242978193,27.297661502689696,27.207152242978193
Constant Turn Rate,30,2.2547093117483907,2.2547093117483907,2.2547335917790337,2.2547093117483907
Constant Turn Rate,60,5.863692473600683,5.863692473600683,5.864342177007816,5.863692473600683
Constant Turn Rate,120,22.352962284246406,22.352962284246406,24.701331293964405,22.352962284246406
Constant Turn Rate,180,16.0986556304008,16.0986556304008,16.178073844228447,16.0986556304008
Constant Turn Rate,300,27.207152242978193,27.207152242978193,27.297661502689696,27.207152242978193
Kalman Filter,30,56.69470520466994,56.69470520466994,79.703863629075,56.69470520466994
Kalman Filter,60,78.80909143262787,78.80909143262787,110.92473568700515,78.80909143262787
Kalman Filter,120,109.4542621184775,109.4542621184775,153.67945638394767,109.4542621184775
Kalman Filter,180,167.18433679708068,167.18433679708068,234.4744866966961,167.18433679708068
Kalman Filter,300,257.11366671220395,257.11366671220395,359.79387424288416,257.11366671220395
Random Forest,30,181.0171530805364,181.0171530805364,181.10925458423793,181.0171530805364
Random Forest,60,384.5679612996579,384.5679612996579,384.70968822407644,384.5679612996579
Random Forest,120,722.0912903390932,722.0912903390932,722.2670899787079,722.0912903390932
Random Forest,180,1070.300597179902,1070.300597179902,1070.972767747006,1070.300597179902
Random Forest,300,1756.3807871249694,1756.3807871249694,1758.4349965819238,1756.3807871249694
